iter	Passed	Remaining
953	217289	10477
954	217473	10247
955	217705	10019
956	217898	9790
957	218100	9561
958	218297	9332
959	218495	9103
960	218713	8875
961	218932	8648
962	219151	8420
963	219365	8192
964	219577	7963
965	219757	7734
966	220009	7508
967	220211	7279
968	220419	7051
969	220625	6823
970	220833	6595
971	221056	6367
972	221257	6139
973	221476	5912
974	221690	5684
975	221896	5456
976	222117	5228
977	222308	5000
978	222521	4773
979	222715	4545
980	222933	4317
981	223132	4090
982	223332	3862
983	223515	3634
984	223684	3406
985	223889	3178
986	224068	2951
987	224267	2723
988	224455	2496
989	224670	2269
990	224879	2042
991	225090	1815
992	225320	1588
993	225547	1361
994	225716	1134
995	225933	907
996	226144	680
997	226341	453
998	226553	226
999	226756	0
